,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal,vix_0dte
54,03/02/2023,11957.25,11907.5,11838.5,745500,1055,11941.03,11967.0,12096.25,11832.5,12062.0,1500,10000,521,1,118.75,1900.0,19.59,Jueves,17.18
55,03/03/2023,12267.75,12196.0,12060.0,66600,1268,12203.58,12306.25,12329.0,12012.0,12315.25,3100,7400,185,1,207.75,239.0,19.08,Viernes,16.45
56,03/06/2023,12043.0,12358.25,12311.25,603400,840,12379.9,12306.25,12486.25,12276.25,12323.5,2200,8400,1700,0,91.75,-7300.0,18.61,Lunes,20.35
57,03/07/2023,12293.0,12230.25,12165.25,676100,956,12249.99,12320.25,12381.25,12142.25,12169.0,1800,7900,5400,0,127.75,-4600.0,19.59,Martes,16.55
58,03/08/2023,12207.0,12176.25,12152.25,624000,585,12186.5,12170.0,12254.5,12108.25,1228.25,5200,11800,5400,0,54.75,-2700.0,19.11,Miercoles,15.3
59,03/09/2023,12268.25,12007.5,11977.5,798000,1504,12185.78,12231.0,12353.5,11977.5,12007.25,3500,5800,69,0,290.75,2800.0,22.61,Jueves,28.48
60,03/10/2023,11980.75,11840.0,11802.0,808000,1256,11937.12,12005.0,12109.0,11795.0,11840.25,4600,5400,1300,0,178.25,682.0,24.8,Viernes,30.02
61,03/13/2023,12191.0,12053.25,12033.25,639400,1666,12070.49,11894.75,12222.75,11806.25,11931.75,1200,4500,1300,0,157.75,2800.0,26.52,Lunes,40.19
62,03/14/2023,12325.0,12263.25,12175.25,641500,1297,12248.71,11960.0,12356.5,12032.25,12207.0,5200,6400,1100,0,149.75,-1800.0,23.73,Martes,22.04
63,03/15/2023,12317.5,12223.75,12131.75,778900,1312,12264.9,12200.75,12424.75,12096.75,12247.75,1400,6000,667,0,185.75,-1200.0,26.14,Miercoles,26.74
64,03/16/2023,12733.75,12716.0,12431.0,694700,1687,12542.69,12264.5,12735.75,12314.0,12583.0,87,6000,1900,0,302.75,2900.0,22.99,Jueves,21.9
65,03/17/2023,12710.25,12639.5,12601.5,710700,967,12671.5,12575.75,12811.25,12569.5,12594.65,4200,8500,2100,0,108.75,171.0,25.51,Viernes,28.3
66,03/20/2023,12681.0,12655.25,12592.25,673300,809,12630.89,12690.0,12727.5,12525.25,12688.5,2400,9700,4600,0,88.75,-5900.0,24.15,Lunes,18.64
67,03/21/2023,12818.25,12775.5,12720.5,556700,887,12785.89,12699.75,12898.25,12676.5,12867.25,2000,6000,2200,0,97.75,3100.0,21.38,Martes,29.05
68,03/24/2023,12856.75,12800.0,12773.0,668500,787,12815.22,12871.5,12924.75,12728.0,12890.25,3800,9400,2800,0,83.75,-552.0,21.74,Viernes,23.98
69,03/27/2023,12960.25,12939.5,12819.5,554500,876,12862.11,12916.0,12984.5,12765.5,12788.5,797,5200,3200,0,140.75,436.0,20.6,Lunes,23.7
70,03/28/2023,12722.0,12704.25,12653.25,531700,797,12707.73,12810.5,12833.5,12634.25,12732.5,2200,9300,4200,1,68.75,372.0,19.97,Martes,21.6
71,03/29/2023,12950.75,12910.0,12855.0,556200,1008,12900.7,12745.5,12994.0,12742.0,12965.0,2500,11800,995,1,95.75,941.0,19.12,Miercoles,17.42
72,03/30/2023,13090.25,13080.5,13041.5,571700,721,13054.43,12962.5,13111.75,12931.5,13082.0,6900,11700,5500,0,48.75,-774.0,19.02,Jueves,15.53
73,03/31/2023,13250.25,13229.5,13096.5,591600,1016,13191.25,13084.25,13311.5,13057.5,13301.75,1300,7500,2900,0,153.75,887.0,18.7,Viernes,15.15
74,04/03/2023,13270.75,13227.0,13194.0,536100,499,13216.46,13262.0,13278.75,13154.0,13270.0,3200,7600,4500,0,76.75,2300.0,18.55,Lunes,14.9
75,04/04/2023,13272.0,13230.25,13188.25,571000,722,13247.71,13259.0,13348.75,13168.25,13219.0,4200,8500,2500,0,83.75,-2600.0,19.0,Martes,16.1
76,04/05/2023,13119.75,13044.0,13008.0,585100,965,13096.57,13230.0,13247.25,13006.0,13079.75,1600,9000,686,0,111.75,-772.0,19.08,Miercoles,12.1
77,04/06/2023,13141.0,13028.25,12954.25,593300,951,13080.46,13072.75,13191.0,12953.25,13170.75,2900,7900,187,0,186.75,-46.0,18.4,Jueves,12.99
78,04/07/2023,13173.75,13158.0,13155.0,41200,281,13163.85,13162.25,13192.25,13122.0,13185.0,1200,1800,1600,0,18.75,117.0,18.4,Viernes,12.74
79,04/10/2023,13175.25,13145.5,13038.5,549000,943,13079.91,13179.75,13203.25,12967.5,13158.0,201,8300,2800,0,136.75,2000.0,18.97,Lunes,18.49
80,04/11/2023,13122.25,13081.5,13063.5,544000,621,13107.45,13163.25,13208.75,13053.5,13074.75,4900,10300,4300,0,58.75,-3700.0,19.25,Martes,12.7
81,04/12/2023,13120.5,13074.75,12995.75,678700,1216,13064.79,13073.75,13241.75,12937.75,12952.25,1000,11100,3700,0,124.75,-11500.0,19.09,Miercoles,19.31
82,04/13/2023,13227.25,13205.5,13068.5,546300,1210,13111.21,12957.0,13228.0,12925.5,13209.75,237,8300,2900,0,158.75,528.0,17.8,Jueves,14.44
83,04/14/2023,13185.75,13135.0,13099.0,616900,788,13150.62,13183.0,13255.0,13058.0,13181.25,5500,7600,3200,0,86.75,1700.0,17.07,Viernes,13.56
84,04/17/2023,13195.5,13169.75,13120.75,536800,565,13147.2,13212.5,13218.0,13076.75,13186.5,2800,8000,3200,0,74.75,3600.0,16.95,Lunes,12.56
85,04/18/2023,13213.75,13180.0,13145.0,567700,643,13204.71,13184.0,13298.75,13138.0,13193.0,2800,15200,710,0,68.75,2300.0,16.83,Martes,11.36
86,04/19/2023,13210.75,13201.0,13118.0,526400,647,13149.75,13170.5,13226.75,13065.0,13183.0,2200,8300,5900,0,92.75,-7400.0,16.46,Miercoles,11.81
87,04/20/2023,13150.5,13139.75,13059.75,673000,713,13108.31,13162.0,13200.0,13021.75,13074.25,3100,9000,5100,0,90.75,3200.0,17.17,Jueves,11.95
88,04/21/2023,13094.25,13066.5,13043.5,587500,558,13060.9,13089.0,13122.0,12982.5,13090.5,2900,13000,3000,0,50.75,-5700.0,16.77,Viernes,12.75
89,04/24/2023,13076.0,13049.25,12998.25,573200,667,13046.96,13070.0,13134.0,12967.25,13056.5,3700,12200,2300,0,77.75,-3400.0,16.89,Lunes,13.27
90,04/25/2023,13027.75,12952.0,12881.0,685900,1038,12923.78,13050.25,13059.5,12800.0,12809.5,511,8000,1800,0,146.75,-508.0,18.76,Martes,9.96
91,04/26/2023,12980.5,12949.75,12903.75,745000,594,12938.53,12940.0,13012.25,12863.75,12887.75,7100,10100,5100,0,76.75,-11500.0,18.84,Miercoles,14.57
92,04/27/2023,13253.75,13234.0,13038.0,714400,1588,13123.32,12965.0,13333.0,12936.0,13231.25,88,7500,4800,0,215.75,-8100.0,17.03,Jueves,15.28
93,04/28/2023,13269.75,13205.0,13182.0,665800,668,13244.1,13320.25,13336.0,13169.0,13320.25,8600,9900,2600,0,87.75,-9200.0,15.78,Viernes,13.35
94,05/01/2023,13320.5,13303.75,13281.75,484100,446,13309.3,13317.0,13370.25,13258.75,13306.75,3400,13800,2700,0,38.75,2700.0,16.08,Lunes,10.06
95,05/02/2023,13217.0,13184.25,13119.25,655200,898,13204.79,13290.0,13334.75,13110.25,13184.5,1900,8600,1900,0,97.75,-17900.0,17.78,Martes,19.82
96,05/03/2023,13244.75,13201.0,13177.0,644000,936,13199.52,13162.0,13314.0,13080.0,13100.75,2900,11500,2600,0,67.75,-1700.0,18.34,Miercoles,17.64
97,05/04/2023,13092.5,13043.75,13032.75,649400,685,13070.73,13064.0,13173.0,13001.75,13043.75,4100,12000,4900,1,59.75,-290.0,20.09,Jueves,20.77
98,05/05/2023,13358.5,13257.75,13196.75,563700,1213,13236.6,13060.0,13359.0,13055.75,13317.75,521,6800,1800,0,161.75,2000.0,17.19,Viernes,14.12
99,05/08/2023,13328.25,13297.5,13266.5,502300,454,13310.98,13316.0,13368.0,13254.5,13352.25,2700,8700,3400,0,61.5,-1100.0,16.98,Lunes,11.32
100,05/09/2023,13297.25,13285.5,13268.5,548400,386,13284.14,13338.5,13347.0,13250.5,13264.75,7000,27000,7800,0,28.75,-4600.0,17.71,Martes,18.33
101,05/10/2023,13439.5,13386.75,13340.75,833000,976,13360.2,13258.75,13446.75,13202.75,13409.5,3400,9300,7400,0,98.75,-1200.0,16.94,Miercoles,13.39
102,05/11/2023,13458.25,13439.5,13404.5,649500,435,13422.79,13410.0,13470.25,13361.5,13446.5,4900,13700,7300,0,53.75,3400.0,16.93,Jueves,13.82
103,05/12/2023,13425.25,13395.5,13323.5,618600,735,13393.48,13446.0,13494.25,13310.5,13396.25,2000,8100,7000,0,101.75,-2300.0,17.03,Viernes,14.18
104,05/15/2023,13472.75,13433.0,13407.0,492500,520,13422.79,13378.75,13480.0,13350.0,13468.0,2400,9800,4400,0,65.75,1600.0,17.12,Lunes,11.68
105,05/16/2023,13540.0,13484.25,13472.25,558700,513,13501.45,13461.0,13554.5,13426.25,13483.25,7700,9800,2900,0,67.75,-6800.0,17.99,Martes,13.98
106,05/17/2023,13669.0,13645.25,13523.25,613200,779,13569.91,13498.5,13669.0,13474.25,13643.5,146,10300,6300,0,145.75,447.0,16.87,Miercoles,12.94
107,05/18/2023,13899.0,13812.25,13755.25,738800,1139,13775.99,13640.5,13913.0,13628.25,13894.0,3200,8900,224,0,143.75,10900.0,16.05,Jueves,13.7
108,05/19/2023,13904.0,13849.25,13843.25,652000,584,13875.02,13908.5,13960.25,13814.25,13858.0,5400,12200,5400,0,60.75,-4300.0,16.81,Viernes,14.17
109,05/22/2023,13925.0,13914.25,13882.25,531800,610,13895.65,13805.5,13946.75,13794.25,13902.5,3700,12200,3400,0,42.75,1900.0,17.21,Lunes,12.29
110,05/23/2023,13909.75,13858.0,13759.0,648200,1077,13818.94,13913.25,13979.25,13710.0,13728.75,1400,14700,150,0,150.75,-4100.0,18.53,Martes,13.43
111,05/24/2023,13660.25,13610.5,13579.5,695000,1117,13644.21,13729.0,13845.75,13566.5,13650.25,3900,10000,2900,1,80.5,6300.0,20.03,Miercoles,17.51
112,05/25/2023,14014.75,13990.0,13894.0,806900,913,13932.94,13877.0,14031.25,13803.0,13976.5,1800,9900,4500,0,120.75,4900.0,19.14,Jueves,16.5
113,05/26/2023,14368.25,14332.5,14143.5,715300,1778,14207.97,13977.75,14369.0,13924.5,14332.5,410,9100,1600,0,224.75,5200.0,17.95,Viernes,20.34
114,05/29/2023,14368.25,14332.5,14143.5,93300,369,14207.97,14437.75,14459.75,14367.5,14404.75,2000,2800,1400,0,224.75,1400.0,17.95,Lunes,20.34
115,05/30/2023,14471.5,14437.75,14375.75,779400,933,14444.41,14437.5,14570.0,14336.75,14396.75,2200,10400,2200,0,95.75,-6300.0,17.46,Martes,13.58
116,05/31/2023,14348.0,14299.25,14270.25,666900,711,14327.82,14397.25,14429.0,14251.25,14300.5,7900,10400,3200,0,77.75,-3300.0,17.94,Miercoles,15.1
117,06/01/2023,14454.0,14296.25,14249.25,610800,1120,14380.52,14289.5,14528.25,14248.25,14472.25,4900,7200,108,1,204.75,5700.0,15.65,Jueves,13.98
118,06/02/2023,14601.0,14579.25,14528.25,614300,638,14457.78,14494.0,14627.75,14468.25,14575.25,2900,15600,4400,0,72.75,1100.0,14.6,Viernes,11.9
119,06/05/2023,14673.5,14619.75,14573.75,607900,728,14610.85,14577.0,14694.75,14512.75,14588.75,5700,6900,2200,0,99.75,-4800.0,14.73,Lunes,10.57
120,06/06/2023,14599.25,14592.5,14554.5,566100,477,14570.06,14582.0,14623.75,14504.5,14586.5,5900,12400,5200,0,144.75,477.0,13.96,Martes,10.27
121,06/07/2023,14459.25,14355.5,14305.5,756600,1478,14474.64,14594.5,14675.0,14305.5,14331.5,1900,5400,203,0,243.75,-9800.0,13.94,Miercoles,11.04
122,06/08/2023,14521.5,14487.75,14369.75,610600,1080,14418.45,14316.0,14526.75,14256.75,14503.0,905,9200,3600,0,151.75,5700.0,13.65,Jueves,11.02
123,06/09/2023,14801.5,14743.75,14694.75,569706,909,14760.24,14517.0,14867.0,14639.75,14556.25,1500,7000,1400,0,106.75,-1800.0,13.83,Viernes,11.59
124,06/12/2023,14885.75,14801.0,14755.0,385600,1118,14855.28,14560.25,15011.5,14732.0,14800.5,1000,6700,169,1,100.75,1900.0,15.01,Lunes,16.75
